exposure.id	exposure.trait	exposure.sample_size	exposure.sex	outcome.id	outcome.sample_size	N_case	mr.pval	mr.b	mr.se
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1132	83691.0	38197	0.196369193712292	-0.187651409210021	0.144312895762376
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1133	69970.0	27078	0.200508562509553	0.0770321099449076	0.0598054095592654
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1130	89677.0	46785	0.323119544549597	0.154599976377325	0.156467003972145
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1132	83691.0	38197	0.924357521073775	0.01361452551159	0.143391926090646
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1133	69970.0	27078	0.655720472577959	0.0818667437014272	0.183627955087646
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1135	55149.0	9655	0.542834948297354	0.140744637590977	0.231285664559018
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1136	50225.0	7333	0.092143336922494	0.172370511286691	0.102345729395257
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1131	32498.0	14910	0.738537811615749	0.0827844801534456	0.248013446797025
ieu-a-29	Birth length	28459.0	Males and Females	ukb-a-519	337199.0	5510	0.612976542192064	-0.00131311933828613	0.00259597366072633
ieu-a-29	Birth length	28459.0	Males and Females	ukb-a-55	337159.0	7480	3.8074609510138e-10	-0.00835262965897903	0.00133391867624251
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1126	228951.0	122977	0.298379196111876	0.0965554144253816	0.09284929547224
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1127	175475.0	69501	0.947660888354681	0.00719845645785562	0.109658241218993
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1128	127442.0	21468	0.159223189936744	0.209969100611495	0.149158731358479
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1129	106776.0	61282	0.641653701906332	0.0595381537580392	0.127932321645316
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1137	22068.0	4480	0.243031037587176	0.45221401532644	0.387353864473577
ieu-a-29	Birth length	28459.0	Males and Females	ieu-a-1134	21814.0	4226	0.028184260788502	-0.463712206401689	0.211286127178072
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1137	22068.0	4480	0.777277281646146	-0.0719068627784131	0.254205552147275
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1134	21814.0	4226	0.430687569820906	-0.128058771957939	0.162507910811079
ieu-a-27	Birth weight	26836.0	Males and Females	ukb-a-519	337199.0	5510	0.466689228760196	-0.00188311231660717	0.00258713185715704
ieu-a-27	Birth weight	26836.0	Males and Females	ukb-a-55	337159.0	7480	0.529613038059743	-0.0018838612547187	0.00299693089974062
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1126	228951.0	122977	0.780885239349605	-0.0160058533573581	0.0575407357397556
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1130	89677.0	46785	0.790617294040243	-0.0147351718544774	0.0554978017116775
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1132	83691.0	38197	0.579610865102015	-0.0521240781888478	0.0940947301002433
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1133	69970.0	27078	0.947156226192499	-0.00491573379326575	0.0741680264417789
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1135	55149.0	9655	0.561197662175924	0.0881418419613248	0.151690551980491
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1136	50225.0	7333	0.366283227988415	-0.142762214752871	0.158017662758674
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1131	32498.0	14910	0.493362997712962	-0.111893719222649	0.163355704534776
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1127	175475.0	69501	0.595275123844368	-0.036423269968565	0.068566958470503
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1128	127442.0	21468	0.8446338147395	-0.0205099903033561	0.104658941181708
ieu-a-27	Birth weight	26836.0	Males and Females	ieu-a-1129	106776.0	61282	0.91648487485409	0.00878771562959105	0.0838022299117027
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1127	175475.0	69501	0.47880507015079	-0.0888373100186852	0.123694943381256
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1128	127442.0	21468	0.0625509799412546	-0.355740187811904	0.183399823161088
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1129	106776.0	61282	0.00323811028807734	-0.243767770495197	0.0771147208777952
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1130	89677.0	46785	0.250921274666326	-0.183317175828659	0.156682534899663
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1132	83691.0	38197	0.0105753616042346	-0.216468250997364	0.0801353990795789
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1133	69970.0	27078	0.0146918702234863	-0.394045370616258	0.152177799892318
